source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
pseudo_negative,C25H46O2_002,C25H46O2,False,True,-0.38727040725099987,0.6789074885958396,0.46091537807151006,0,22,1,2,1,0,0,0
pseudo_negative,C25H46O2_003,C25H46O2,False,True,-0.38588040196528783,0.679851829761055,0.4621985104294545,0,23,0,1,2,0,0,0
pseudo_negative,C25H46O2_004,C25H46O2,False,True,-0.3931873897044679,0.6749022659996594,0.45549306865147504,1,22,2,1,0,0,0,0
pseudo_negative,C25H46O2_005,C25H46O2,False,True,-0.39179738441875583,0.6758410360132274,0.4567611059594326,1,23,1,0,1,0,0,0
pseudo_negative,C25H46O_001,C25H46O,False,True,-0.3733388597723772,0.6884319114337628,0.47393849668034427,0,21,1,3,0,0,0,0
pseudo_negative,C25H46O_002,C25H46O,False,True,-0.37194885448666504,0.6893895008024696,0.4752578838166783,0,22,0,2,1,0,0,0
pseudo_negative,C25H46O_003,C25H46O,False,True,-0.3778658369401331,0.6853224394538104,0.46966684601892167,1,22,1,1,0,0,0,0
pseudo_negative,C25H46O_004,C25H46O,False,True,-0.376475831654421,0.6862757036347087,0.4709743413993145,1,23,0,0,1,0,0,0
pseudo_negative,C25H46_001,C25H46,False,True,-0.35801730700804235,0.6990609762478913,0.48868624851265485,0,21,0,3,0,0,0,0
pseudo_negative,C25H46_002,C25H46,False,True,-0.36254428417579826,0.6959034954835353,0.4842816750262028,1,22,0,1,0,0,0,0
pseudo_negative,C25H48O2_001,C25H48O2,False,True,-0.39618392281035886,0.6728829260368822,0.4527714321519562,0,22,2,2,0,0,0,0
pseudo_negative,C25H48O2_002,C25H48O2,False,True,-0.39479391752464676,0.673818887205526,0.4540318927548933,0,23,1,1,1,0,0,0
pseudo_negative,C25H48O2_003,C25H48O2,False,True,-0.39340391223893467,0.6747561502697527,0.45529586232685704,0,24,0,0,2,0,0,0
pseudo_negative,C25H48O2_004,C25H48O2,False,True,-0.4007108999781148,0.6698436848722149,0.44869056216318715,1,23,2,0,0,0,0,0
pseudo_negative,C25H48O_001,C25H48O,False,True,-0.380862370046024,0.6832719218320815,0.4668605191641061,0,22,1,2,0,0,0,0
pseudo_negative,C25H48O_002,C25H48O,False,True,-0.37947236476031193,0.6842223338008115,0.4681602020718292,0,23,0,1,1,0,0,0
pseudo_negative,C25H48O_003,C25H48O,False,True,-0.38538934721378,0.6801857562137559,0.46265266295607893,1,23,1,0,0,0,0,0
pseudo_negative,C25H48_001,C25H48,False,True,-0.3655408172816892,0.6938213188344692,0.48138802246920215,0,22,0,2,0,0,0,0
pseudo_negative,C25H48_002,C25H48,False,True,-0.37006779444944515,0.690687504270998,0.4770492285560999,1,23,0,0,0,0,0,0
pseudo_negative,C25H50O2_001,C25H50O2,False,True,-0.40370743308400575,0.6678394804268899,0.4460095716168583,0,23,2,1,0,0,0,0
pseudo_negative,C25H50O2_002,C25H50O2,False,True,-0.4023174277982936,0.6687684263049617,0.44725120802241497,0,24,1,0,1,0,0,0
pseudo_negative,C25H50O_001,C25H50O,False,True,-0.3883858803196709,0.6781506077947477,0.45988824685238566,0,23,1,1,0,0,0,0
pseudo_negative,C25H50O_002,C25H50O,False,True,-0.38699587503395877,0.6790938961601197,0.46116851980193146,0,24,0,0,1,0,0,0
pseudo_negative,C25H50_001,C25H50,False,True,-0.3730643275553361,0.6886209341179117,0.47419879090542527,0,23,0,1,0,0,0,0
pseudo_negative,C25H52O2_001,C25H52O2,False,True,-0.41123094335765253,0.6628338368514519,0.4393486952752172,0,24,2,0,0,0,0,0
pseudo_negative,C25H52O_001,C25H52O,False,True,-0.39590939059331776,0.6730676794375962,0.4530201011035107,0,24,1,0,0,0,0,0
pseudo_negative,C25H52_001,C25H52,False,True,-0.3805878378289829,0.6834595277383785,0.46711692605636734,0,24,0,0,0,0,0,0
pseudo_negative,C26H42O2_001,C26H42O2,False,True,-0.38369467488831077,0.6813394254605591,0.46422341268692485,1,22,0,2,2,0,0,0
pseudo_negative,C26H44O2_001,C26H44O2,False,True,-0.3926081904476697,0.6752932821177291,0.45602101687333485,1,22,1,2,1,0,0,0
pseudo_negative,C26H44O2_002,C26H44O2,False,True,-0.39121818516195767,0.6762325960236871,0.45729052392493524,1,23,0,1,2,0,0,0
pseudo_negative,C26H44O_001,C26H44O,False,True,-0.37728663768333487,0.685719492676775,0.4702112226368937,1,22,0,2,1,0,0,0
pseudo_negative,C26H46O2_001,C26H46O2,False,True,-0.3942147182678486,0.6742092756496466,0.45455814737202116,0,23,0,2,2,0,0,0
pseudo_negative,C26H46O2_002,C26H46O2,False,True,-0.4015217060070287,0.6693007916943632,0.44796354976270136,1,22,2,2,0,0,0,0
pseudo_negative,C26H46O2_003,C26H46O2,False,True,-0.4001317007213166,0.6702317702151857,0.4492106258057814,1,23,1,1,1,0,0,0
pseudo_negative,C26H46O2_004,C26H46O2,False,True,-0.3987416954356045,0.6711640437008684,0.45046117355690113,1,24,0,0,2,0,0,0
pseudo_negative,C26H46O_001,C26H46O,False,True,-0.38620015324269386,0.6796344810206625,0.46190302779222525,1,22,1,2,0,0,0,0
pseudo_negative,C26H46O_002,C26H46O,False,True,-0.38481014795698176,0.6805798334118329,0.46318890964687826,1,23,0,1,1,0,0,0
pseudo_negative,C26H46_001,C26H46,False,True,-0.370878600478359,0.6901277176482912,0.4762762666664395,1,22,0,2,0,0,0,0
pseudo_negative,C26H48O2_001,C26H48O2,False,True,-0.4031282338272075,0.6682264045998936,0.4465265278045007,0,23,1,2,1,0,0,0
pseudo_negative,C26H48O2_002,C26H48O2,False,True,-0.40173822854149543,0.6691558886785752,0.44776960335321375,0,24,0,1,2,0,0,0
