stage,rank,A,E_ref,k,total_loss,positive_loss,separation_loss,regularization_loss,mean_positive_log_score,pseudo_log_score_statistic,score_gap
random,106,2.815352702472354,210.9802907919047,252.68307204623102,0.05714428798214284,0.047865514954600834,0.0075413042210511205,0.0036227948617536644,-0.047865514954600834,-0.14032421073354973,0.09245869577894889
random,107,13.980216787162616,191.12554462553857,1471.5319066693808,0.057144563787206164,0.044726398564580445,0.015937870679057886,0.0004647622133323043,-0.044726398564580445,-0.12878852788552256,0.08406212932094212
random,108,15.948195878089273,169.5302828126701,1186.8449231082384,0.05714649409657872,0.0447581893832058,0.01575378597446042,0.0005729652325276128,-0.0447581893832058,-0.1290044034087454,0.08424621402553958
random,109,2.557976936692368,241.92678103878754,242.17797442374115,0.057182171738212134,0.053266152275179585,0.0,0.003916019463032553,-0.053266152275179585,-0.1560410504472251,0.10277489817204552
random,110,4.732836368813092,230.41890833070707,355.65925866576663,0.057242420398485094,0.05554448599848172,0.0,0.001697934400003376,-0.05554448599848172,-0.1615332577130693,0.10598877171458759
random,111,4.198681788764034,131.97584035028123,202.52512096448274,0.0572683879860592,0.04731462615310457,0.007968384325047692,0.00397747358916886,-0.04731462615310457,-0.13934624182805688,0.09203161567495231
random,112,4.972105187257301,73.43621111100198,146.77544707462295,0.057278964940540036,0.05112805692623509,0.0,0.006150908014304949,-0.05112805692623509,-0.1517307920686839,0.1006027351424488
random,113,4.846261096861372,517.3416222165631,1810.1279801461055,0.05737368821410883,0.0450849063772666,0.014819999246230273,0.0011737824021695266,-0.0450849063772666,-0.13026490713103633,0.08518000075376973
random,114,28.481431496274677,143.83012162731936,1813.345183715432,0.05741107787033829,0.04764936380552715,0.010362034062429887,0.0019901885179887265,-0.04764936380552715,-0.13728732974309726,0.08963796593757012
random,115,3.892458133189126,630.7796550964623,1162.8518105883288,0.05742280848592258,0.05595746159947398,0.0,0.0014653468864486007,-0.05595746159947398,-0.1622378493395933,0.1062803877401193
random,116,5.302736479096144,87.81129712213855,152.3846124994889,0.057429189668944544,0.051977866511737816,0.0,0.0054513231572067295,-0.051977866511737816,-0.15395995776841925,0.10198209125668144
random,117,9.592702701284995,306.59002146112687,2630.7206174563753,0.057471591312719936,0.05653380240155095,0.0,0.0009377889111689792,-0.05653380240155095,-0.1624325732968279,0.10589877089527694
random,118,1.8846152444895246,163.89069384912057,173.86214310053404,0.05752025349729227,0.05130891050557501,0.0,0.006211342991717257,-0.05130891050557501,-0.15145616723070138,0.10014725672512637
random,119,3.3267396767275668,202.89020611520283,278.48863977135784,0.05752699907047719,0.045912283565343416,0.011488251678400951,0.0029985267463330627,-0.045912283565343416,-0.13442403188694246,0.08851174832159905
random,120,7.891968151732197,152.7201697117997,359.0853628125346,0.057557239966761986,0.043597450466722476,0.016531875570094695,0.0015608828224684874,-0.043597450466722476,-0.1270655748966278,0.08346812442990531
random,121,7.912393071999286,339.47250608844615,2583.260356357056,0.057577590277126806,0.045189082198182524,0.015223599692601425,0.0009708083094932122,-0.045189082198182524,-0.1299654825055811,0.08477640030739858
random,122,18.69500404646786,76.92585857812216,179.52137527340156,0.05758906140675364,0.048626297369153935,0.005025958031519728,0.0051932955139599125,-0.048626297369153935,-0.14360033933763422,0.09497404196848028
random,123,5.602426414952248,219.14241075333027,509.70107033154125,0.05759969323360793,0.04274850200841832,0.018616915976256643,0.0008885042429971305,-0.04274850200841832,-0.12413158603216168,0.08138308402374336
random,124,1.5522822125634856,493.3700548665093,303.9644370176624,0.057629491073414606,0.049945225853882703,0.003397903918506806,0.0051358372806518,-0.049945225853882703,-0.1465473219353759,0.0966020960814932
